tx_status,tx_codptcoleta,tx_localizacao,dt_atualizacao,globalid,objectid,nomePraia,tipo
Própria,AD000,Centro da praia,2014/01/02 03:00:00+00,{D011FF7A-3D71-4F45-8361-03D32D8EB810},1,Praia da Fortaleza,Baía de Guanabara
Imprópria,AD000,Centro da praia,2014/01/07 03:00:00+00,{B53C7E6C-15B5-4654-A419-09E7FF314A17},2,Praia da Fortaleza,Baía de Guanabara
Imprópria,AD000,Centro da praia,2014/01/14 03:00:00+00,{8256E65A-E51A-4CB0-9BC3-E0B606A8B473},3,Praia da Fortaleza,Baía de Guanabara
Imprópria,AD000,Centro da praia,2014/01/22 03:00:00+00,{1615DEF1-0B0C-4C80-8FAA-33AB8A9CBEAA},4,Praia da Fortaleza,Baía de Guanabara
Imprópria,AD000,Centro da praia,2014/01/28 03:00:00+00,{E3FA5475-3953-492D-B17E-57F479E1A5BA},5,Praia da Fortaleza,Baía de Guanabara
Imprópria,AD000,Centro da praia,2014/02/03 03:00:00+00,{0277787E-BF5B-437D-930C-F5E234784F63},6,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/02/06 03:00:00+00,{E533CCBB-B28C-4920-8BA8-2A9204EC1F4C},7,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/02/10 03:00:00+00,{C3A5F2E9-B456-4504-897F-735978C70575},8,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/02/13 03:00:00+00,{923D1592-54DB-4609-B045-E8824732999B},9,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/02/17 03:00:00+00,{30C41B46-195A-4DDD-9BFE-7F49680C678F},10,Praia da Fortaleza,Baía de Guanabara
Imprópria,AD000,Centro da praia,2014/02/20 03:00:00+00,{20D40859-BACA-4017-9DE4-6B2D94F79CA5},11,Praia da Fortaleza,Baía de Guanabara
Imprópria,AD000,Centro da praia,2014/02/24 03:00:00+00,{E56A276C-2F50-45D6-AF84-D302582BD8B4},12,Praia da Fortaleza,Baía de Guanabara
Imprópria,AD000,Centro da praia,2014/02/26 03:00:00+00,{F7FDED28-726F-408E-8EB3-68575D13D555},13,Praia da Fortaleza,Baía de Guanabara
Imprópria,AD000,Centro da praia,2014/03/06 03:00:00+00,{BFBAB80E-3E2B-4DB1-B5FC-A327B1050B4C},14,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/03/10 03:00:00+00,{339AC748-1D73-426B-997B-A7D80A969D57},15,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/03/13 03:00:00+00,{F59C1BBA-8092-4CA1-AE74-15096C5930D2},16,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/03/17 03:00:00+00,{095320E9-D279-41D8-A10F-53B2AD0569D0},17,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/03/20 03:00:00+00,{7E78415C-9E20-40D2-A6F0-0B94A8654CB9},18,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/03/24 03:00:00+00,{B751D48D-4F5B-4CE8-A1B4-E6FD2B7DA77F},19,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/03/27 03:00:00+00,{1C0AFBAE-26CA-4F7E-AF77-CF5CF1C542EC},20,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/03/31 03:00:00+00,{5D4B5FA7-5AD8-401B-80F0-373036718DC3},21,Praia da Fortaleza,Baía de Guanabara
Imprópria,AD000,Centro da praia,2014/04/03 03:00:00+00,{A3C4F133-8DE6-4FFB-BDCD-2440A21CFC7F},22,Praia da Fortaleza,Baía de Guanabara
Imprópria,AD000,Centro da praia,2014/04/07 03:00:00+00,{485D16FC-0117-4129-8951-1D3CB8574D18},23,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/04/10 03:00:00+00,{F448D117-3A55-4D68-8863-2021F1ED5606},24,Praia da Fortaleza,Baía de Guanabara
Imprópria,AD000,Centro da praia,2014/04/14 03:00:00+00,{3E39F03A-098F-4D9A-AD9C-380829DC3D69},25,Praia da Fortaleza,Baía de Guanabara
Imprópria,AD000,Centro da praia,2014/04/24 03:00:00+00,{2B654198-0C44-4350-97EE-773D234D1B17},26,Praia da Fortaleza,Baía de Guanabara
Imprópria,AD000,Centro da praia,2014/04/28 03:00:00+00,{30224643-35CF-43AA-A3FB-51C2341E68DF},27,Praia da Fortaleza,Baía de Guanabara
Imprópria,AD000,Centro da praia,2014/05/05 03:00:00+00,{83340C61-EB1E-4ADF-903F-9D9B5ABCCA73},28,Praia da Fortaleza,Baía de Guanabara
Imprópria,AD000,Centro da praia,2014/05/08 03:00:00+00,{EF3C06BA-C0AE-44E7-9290-D688595D108A},29,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/05/12 03:00:00+00,{72BB0D5A-DF12-4726-A4B7-3D0F98D6775B},30,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/05/15 03:00:00+00,{4FADF442-A94C-4A2C-98FC-FDECE6B49477},31,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/05/19 03:00:00+00,{74A9527B-27BE-47D3-8F05-955E57355E8B},32,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/05/22 03:00:00+00,{3D0C5CF6-3E87-4954-A95B-F4D1DA5451B6},33,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/05/26 03:00:00+00,{109C0610-D97F-4810-A979-30F35118A15F},34,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/05/29 03:00:00+00,{4EA3C2A0-6D42-4F42-B82B-BB212CB7E3C0},35,Praia da Fortaleza,Baía de Guanabara
Imprópria,AD000,Centro da praia,2014/06/02 03:00:00+00,{917D8BF7-89DA-4FC9-98A3-78B6E753B99E},36,Praia da Fortaleza,Baía de Guanabara
Imprópria,AD000,Centro da praia,2014/06/05 03:00:00+00,{43041824-5D17-43AB-BDA8-18D5EF605BCA},37,Praia da Fortaleza,Baía de Guanabara
Imprópria,AD000,Centro da praia,2014/06/09 03:00:00+00,{F26B5F60-6C8F-471F-8491-A672B2F50E77},38,Praia da Fortaleza,Baía de Guanabara
Imprópria,AD000,Centro da praia,2014/06/12 03:00:00+00,{0168E0A0-C6E2-482F-8E1D-23E8F395DD7F},39,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/06/16 03:00:00+00,{83B73174-8CC1-4844-B344-935AB337391C},40,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/06/23 03:00:00+00,{7B69E2D3-96B6-452F-9097-F48F2B9830AA},41,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/06/26 03:00:00+00,{BA74BB87-78D1-4B74-ADD1-E228AF22818C},42,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/06/30 03:00:00+00,{1886C930-50A8-4AFC-B49D-F1528FE7B53C},43,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/07/02 03:00:00+00,{C811D83A-FB48-4A6F-BCC5-084F2986F40A},44,Praia da Fortaleza,Baía de Guanabara
Própria,AD000,Centro da praia,2014/07/07 03:00:00+00,{07F94A2A-BB08-42C8-974B-2E82DAFA5247},45,Praia da Fortaleza,Baía de Guanabara
